,PID,dialog_id,mask,sound,state1_to_2_ratio
98,15,3,no,binaural,1.9528415961305925
99,16,3,no,binaural,2.043523982006193
100,17,3,no,binaural,2.0577836703126726
101,18,3,no,binaural,2.0566391989151978
102,19,3,no,binaural,2.0666732761612057
103,20,3,no,binaural,2.1298663846967223
104,21,3,no,binaural,2.1514034198276257
105,22,3,no,binaural,2.109027777777778
106,23,3,no,binaural,2.139036760699166
107,24,3,no,binaural,2.151221872731672
108,25,3,no,binaural,2.1796875
109,26,3,no,binaural,2.2522474068382636
110,27,3,no,binaural,2.3219467956469164
111,28,3,no,binaural,2.334601316752012
112,29,3,no,binaural,2.3272490221642763
113,30,3,no,binaural,2.307598537180008
114,31,3,no,binaural,2.2256167710596957
115,32,3,no,binaural,2.226657582608157
116,33,3,no,binaural,2.236970536844008
117,34,3,no,binaural,2.177223545618919
118,35,3,no,binaural,2.2246745897000566
119,36,3,no,binaural,2.24015922158337
120,37,3,no,binaural,2.1775069895025583
121,38,3,no,binaural,2.1289482335685204
122,39,3,no,binaural,2.0995899238429994
123,40,3,no,binaural,2.1005094510308053
124,41,3,no,binaural,2.114771693226627
125,42,3,no,binaural,2.091139240506329
126,1,4,no,head,3.277504105090312
127,2,4,no,head,2.5013440860215055
128,3,4,no,head,1.9468325791855203
129,4,4,no,head,1.5734749320819956
130,5,4,no,head,1.3890315480557593
131,6,4,no,head,1.4425691514299108
132,7,4,no,head,1.4417514729512586
133,8,4,no,head,1.5671347622567136
134,9,4,no,head,1.5783569778950841
135,10,4,no,head,1.5652387986213687
136,11,4,no,head,1.6424751014385834
137,12,4,no,head,1.755156002115283
138,13,4,no,head,1.7323705018557367
139,14,4,no,head,1.7048876362827263
140,15,4,no,head,1.6639623670575403
141,16,4,no,head,1.631977772164688
142,17,4,no,head,1.6772867420349435
143,18,4,no,head,1.80627206894488
144,19,4,no,head,1.7737614884555033
145,20,4,no,head,1.7320398531725223
146,21,4,no,head,1.738125031282847
147,22,4,no,head,1.725543349027441
148,23,4,no,head,1.7297371178641396
149,24,4,no,head,1.7411434584356367
150,25,4,no,head,1.775291911702037
151,26,4,no,head,1.7367868110554388
152,27,4,no,head,1.7478902953586497
153,28,4,no,head,1.768226498159323
154,29,4,no,head,1.7617533084740806
155,30,4,no,head,1.7985675917636526
156,31,4,no,head,1.8595963172804533
157,32,4,no,head,1.7407529179681078
158,33,4,no,head,1.7218756926194472
159,34,4,no,head,1.8411496760120614
160,35,4,no,head,1.7213168576886342
161,36,4,no,head,1.818755635707845
162,37,4,no,head,1.7259743198144692
163,38,4,no,head,1.7347570240627677
164,39,4,no,head,1.822789030590981
165,40,4,no,head,1.7241830065359478
166,41,4,no,head,1.8317469576053238
167,42,4,no,head,1.7749315207466776
168,1,5,yes,binaural,3.753445635528331
169,2,5,yes,binaural,2.1934156378600824
170,3,5,yes,binaural,2.1102204408817635
171,4,5,yes,binaural,1.8353505366522036
172,5,5,yes,binaural,1.7376962427235845
173,6,5,yes,binaural,1.935687263556116
174,7,5,yes,binaural,2.0546885983410657
175,8,5,yes,binaural,1.9846153846153847
176,9,5,yes,binaural,1.9681257968550787
177,10,5,yes,binaural,1.847967703459033
178,11,5,yes,binaural,1.9916761587663192
179,12,5,yes,binaural,1.909772674009843
180,13,5,yes,binaural,1.9078331051379982
181,14,5,yes,binaural,2.095597663484827
182,15,5,yes,binaural,2.038371182458888
183,16,5,yes,binaural,2.149071079830068
184,17,5,yes,binaural,2.1953494005086593
185,18,5,yes,binaural,2.241023261210047
186,19,5,yes,binaural,2.2605042016806722
187,20,5,yes,binaural,2.1948947558025833
188,21,5,yes,binaural,2.2045622142470873
189,22,5,yes,binaural,2.160896130346232
190,23,5,yes,binaural,2.1681902902281
191,24,5,yes,binaural,2.2320708056748666
192,25,5,yes,binaural,2.2907849539883807
193,26,5,yes,binaural,2.317329825715225
194,27,5,yes,binaural,2.385908209437621
195,28,5,yes,binaural,2.364378895211551
196,29,5,yes,binaural,2.3723962235875917
197,30,5,yes,binaural,2.3975481611208407
198,31,5,yes,binaural,2.306553039414453
199,32,5,yes,binaural,2.2684435669628167
200,33,5,yes,binaural,2.2895083336009505
201,34,5,yes,binaural,2.260101322130236
202,35,5,yes,binaural,2.257668895619059
203,36,5,yes,binaural,2.2814729979737467
204,37,5,yes,binaural,2.2356106493872376
205,38,5,yes,binaural,2.22837749069411
206,39,5,yes,binaural,2.1375476246015084
207,40,5,yes,binaural,2.213084208891879
208,41,5,yes,binaural,2.2062884208404716
209,42,5,yes,binaural,2.192008226825327
210,1,6,no,mono,6.4613686534216335
211,2,6,no,mono,4.395051875498803
212,3,6,no,mono,4.3679195341450505
213,4,6,no,mono,3.135821352095442
214,5,6,no,mono,2.729037952338923
215,6,6,no,mono,2.8063063063063063
216,7,6,no,mono,3.2653686677483322
217,8,6,no,mono,2.9001875090148563
218,9,6,no,mono,2.953730179360541
219,10,6,no,mono,2.842655752614825
220,11,6,no,mono,2.800470203414086
221,12,6,no,mono,2.94015931610647
222,13,6,no,mono,3.1688804554079697
223,14,6,no,mono,3.041335724656247
224,15,6,no,mono,3.135399673735726
225,16,6,no,mono,3.079046613365515
226,17,6,no,mono,3.093758905671131
227,18,6,no,mono,3.0310077519379846
228,19,6,no,mono,2.9191993164896863
229,20,6,no,mono,2.830679435598119
230,21,6,no,mono,2.7651177593889242
231,22,6,no,mono,2.659268736774765
232,23,6,no,mono,2.627963412357663
233,24,6,no,mono,2.6425684777727887
234,25,6,no,mono,2.685450104675506
235,26,6,no,mono,2.767792831418282
236,27,6,no,mono,2.762057877813505
237,28,6,no,mono,2.6639566395663956
238,29,6,no,mono,2.688984230928456
239,30,6,no,mono,2.673646837185711
240,31,6,no,mono,2.5683149434681924
241,32,6,no,mono,2.574946289869443
242,33,6,no,mono,2.5577812509967783
243,34,6,no,mono,2.51878502097431
244,35,6,no,mono,2.4653465346534653
245,36,6,no,mono,2.494342656941014
246,37,6,no,mono,2.4982796721586618
247,38,6,no,mono,2.492115280043502
248,39,6,no,mono,2.459479319756456
249,40,6,no,mono,2.464090804273745
250,41,6,no,mono,2.482959686337589
251,42,6,no,mono,2.5041469194312795
